Russel,yelping_since: 2004 10 || votes:  funny 167 useful 280 cool 245  || name: Russel || elite:  2005 2006  || type: user || compliments:  profile 8 cute 15 funny 11 plain 25 writer 9 note 20 photos 14 hot 48 more 3 cool 78  || fans: 70 || average_stars: 4 14 || review_count: 108 ||
Jeremy,yelping_since: 2004 10 || votes:  funny 7681 useful 14199 cool 11093  || name: Jeremy || elite:  2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015  || type: user || compliments:  profile 116 cute 206 funny 580 plain 959 writer 327 list 38 note 611 photos 330 hot 1094 more 134 cool 1642  || fans: 1179 || average_stars: 3 66 || review_count: 1274 ||
Michael,yelping_since: 2004 10 || votes:  funny 908 useful 1483 cool 732  || name: Michael || elite:  2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015  || type: user || compliments:  profile 9 cute 23 funny 120 plain 89 writer 24 list 4 note 83 photos 24 hot 101 more 19 cool 145  || fans: 100 || average_stars: 3 6 || review_count: 442 ||
Ken,yelping_since: 2004 10 || votes:  funny 1 useful 11 cool 5  || name: Ken || type: user || compliments:  cute 2  || fans: 2 || average_stars: 4 64 || review_count: 11 ||
Katherine,yelping_since: 2004 10 || votes:  funny 11 useful 34 cool 13  || name: Katherine || elite:  2005  || type: user || compliments:  cute 2 plain 2 writer 2 note 1 hot 1 more 1 cool 1  || fans: 4 || average_stars: 3 8 || review_count: 66 ||
Joan,yelping_since: 2004 10 || votes:  funny 13010 useful 17705 cool 16794  || name: Joan || elite:  2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015  || type: user || compliments:  profile 231 cute 274 funny 1507 plain 4099 writer 1327 list 88 note 1017 photos 1934 hot 2704 cool 3592 more 222  || fans: 807 || average_stars: 4 35 || review_count: 1611 ||
George,yelping_since: 2004 10 || votes:  funny 35 useful 39 cool 25  || name: George || elite:  2005 2006 2007  || type: user || compliments:  profile 2 cute 4 funny 2 plain 6 writer 1 list 1 note 5 hot 8 more 1 cool 14  || fans: 6 || average_stars: 4 45 || review_count: 55 ||
Mary,yelping_since: 2004 10 || votes:  funny 32 useful 131 cool 34  || name: Mary || elite:  2005  || type: user || compliments:  plain 5 hot 1 cool 1  || fans: 2 || average_stars: 3 88 || review_count: 60 ||
Nader,yelping_since: 2004 10 || votes:  funny 53 useful 243 cool 49  || name: Nader || type: user || compliments:  profile 1 cute 1 funny 8 plain 5 writer 3 note 3 photos 1 hot 5 cool 4 more 2  || fans: 7 || average_stars: 3 58 || review_count: 101 ||
Joseph,yelping_since: 2004 10 || votes:  funny 6 useful 30 cool 15  || name: Joseph || type: user || compliments:  photos 1 hot 1 plain 2 cool 3  || fans: 0 || average_stars: 4 3 || review_count: 20 ||
